"day","Mean_Temp","lvsg","rootsg","stemg","lvsd","rootd","stemd","AGB","TOTB"
1,0.44,0,0,0,0,0,0,0,0
2,0.31,0,0,0,0,0,0,0,0
3,0.22,0,0,0,0,0,0,0,0
4,0.14,0,0,0,0,0,0,0,0
5,0.03,0,0,0,0,0,0,0,0
6,-0.08,0,0,0,0,0,0,0,0
7,-0.14,0,0,0,0,0,0,0,0
8,-0.25,0,0,0,0,0,0,0,0
9,-0.31,0,0,0,0,0,0,0,0
10,-0.42,0,0,0,0,0,0,0,0
11,-0.47,0,0,0,0,0,0,0,0
12,-0.53,0,0,0,0,0,0,0,0
13,-0.58,0,0,0,0,0,0,0,0
14,-0.64,0,0,0,0,0,0,0,0
15,-0.69,0,0,0,0,0,0,0,0
16,-0.75,0,0,0,0,0,0,0,0
17,-0.78,0,0,0,0,0,0,0,0
18,-0.81,0,0,0,0,0,0,0,0
19,-0.86,0,0,0,0,0,0,0,0
20,-0.86,0,0,0,0,0,0,0,0
21,-0.86,0,0,0,0,0,0,0,0
22,-0.89,0,0,0,0,0,0,0,0
23,-0.92,0,0,0,0,0,0,0,0
24,-0.92,0,0,0,0,0,0,0,0
25,-0.89,0,0,0,0,0,0,0,0
26,-0.86,0,0,0,0,0,0,0,0
27,-0.86,0,0,0,0,0,0,0,0
28,-0.83,0,0,0,0,0,0,0,0
29,-0.81,0,0,0,0,0,0,0,0
30,-0.78,0,0,0,0,0,0,0,0
31,-0.72,0,0,0,0,0,0,0,0
32,-0.67,0,0,0,0,0,0,0,0
33,-0.64,0,0,0,0,0,0,0,0
34,-0.58,0,0,0,0,0,0,0,0
35,-0.53,0,0,0,0,0,0,0,0
36,-0.47,0,0,0,0,0,0,0,0
37,-0.39,0,0,0,0,0,0,0,0
38,-0.33,0,0,0,0,0,0,0,0
39,-0.25,0,0,0,0,0,0,0,0
40,-0.17,0,0,0,0,0,0,0,0
41,-0.08,0,0,0,0,0,0,0,0
42,-0.03,0,0,0,0,0,0,0,0
43,0.08,0,0,0,0,0,0,0,0
44,0.17,0,0,0,0,0,0,0,0
45,0.28,0,0,0,0,0,0,0,0
46,0.36,0,0,0,0,0,0,0,0
47,0.47,0,0,0,0,0,0,0,0
48,0.58,0,0,0,0,0,0,0,0
49,0.67,0,0,0,0,0,0,0,0
50,0.78,0,0,0,0,0,0,0,0
51,0.89,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0
53,1.08,0,0,0,0,0,0,0,0
54,1.19,0,0,0,0,0,0,0,0
55,1.31,0,0,0,0,0,0,0,0
56,1.42,0,0,0,0,0,0,0,0
57,1.53,0,0,0,0,0,0,0,0
58,1.61,0,0,0,0,0,0,0,0
59,1.69,0,0,0,0,0,0,0,0
60,1.81,0,0,0,0,0,0,0,0
61,1.92,0,0,0,0,0,0,0,0
62,2.03,0,0,0,0,0,0,0,0
63,2.14,0,0,0,0,0,0,0,0
64,2.25,0,0,0,0,0,0,0,0
65,2.33,0,0,0,0,0,0,0,0
66,2.44,0,0,0,0,0,0,0,0
67,2.56,0,0,0,0,0,0,0,0
68,2.64,0,0,0,0,0,0,0,0
69,2.75,0,0,0,0,0,0,0,0
70,2.86,0,0,0,0,0,0,0,0
71,2.94,0,0,0,0,0,0,0,0
72,3.06,0,0,0,0,0,0,0,0
73,3.17,0,0,0,0,0,0,0,0
74,3.25,0,0,0,0,0,0,0,0
75,3.36,0,0,0,0,0,0,0,0
76,3.44,0,0,0,0,0,0,0,0
77,3.56,0,0,0,0,0,0,0,0
78,3.69,0,0,0,0,0,0,0,0
79,3.78,0,0,0,0,0,0,0,0
80,3.89,0,0,0,0,0,0,0,0
81,4,0,0,0,0,0,0,0,0
82,4.08,0,0,0,0,0,0,0,0
83,4.22,0,0,0,0,0,0,0,0
84,4.33,0,0,0,0,0,0,0,0
85,4.44,0,0,0,0,0,0,0,0
86,4.58,0,0,0,0,0,0,0,0
